"","X","id","landscape","position","row","column","initial.species","extinctions","distance2nonextinct","connectivity2nonextinct","n_extinctions","correlation","treatment_label","correlation_label","n_extinctions_label","extinction_label","treatment_label_bis","return_point","return_time","distance2extinct"
"42",42,42,3,10,3,2,"Ble",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"43",43,43,3,11,3,3,"Ble",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"44",44,44,3,12,3,4,"Tet",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"45",45,45,3,13,4,1,"Col",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"46",46,46,3,14,4,2,"Col",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"47",47,47,3,15,4,3,"Col",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"48",48,48,3,16,4,4,"Tet",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"49",49,49,4,1,1,1,"Tet",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"50",50,50,4,2,1,2,"Ble",TRUE,1,3,4,FALSE,1,"Dispersed extinctions","4 extinctions","Extinct patches","4 Dispersed",2,91.4583333333333,0
"51",51,51,4,3,1,3,"Tet",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"52",52,52,4,4,1,4,"Tet",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,2
"53",53,53,4,5,2,1,"Col",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"54",54,54,4,6,2,2,"Tet",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"55",55,55,4,7,2,3,"Ble",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"56",56,56,4,8,2,4,"Ble",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,2
"57",57,57,4,9,3,1,"Tet",TRUE,1,3,4,FALSE,1,"Dispersed extinctions","4 extinctions","Extinct patches","4 Dispersed",1,44.0875,0
"58",58,58,4,10,3,2,"Ble",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"59",59,59,4,11,3,3,"Ble",TRUE,1,4,4,FALSE,1,"Dispersed extinctions","4 extinctions","Extinct patches","4 Dispersed",3,164.466666666667,0
"60",60,60,4,12,3,4,"Col",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"61",61,61,4,13,4,1,"Col",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"62",62,62,4,14,4,2,"Tet",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,2
"63",63,63,4,15,4,3,"Col",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"64",64,64,4,16,4,4,"Col",TRUE,1,2,4,FALSE,1,"Dispersed extinctions","4 extinctions","Extinct patches","4 Dispersed",3,164.466666666667,0
"65",65,65,5,1,1,1,"Tet",TRUE,1,2,4,FALSE,1,"Dispersed extinctions","4 extinctions","Extinct patches","4 Dispersed",3,164.466666666667,0
"66",66,66,5,2,1,2,"Col",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"67",67,67,5,3,1,3,"Col",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"68",68,68,5,4,1,4,"Ble",TRUE,1,2,4,FALSE,1,"Dispersed extinctions","4 extinctions","Extinct patches","4 Dispersed",3,164.466666666667,0
"69",69,69,5,5,2,1,"Ble",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"70",70,70,5,6,2,2,"Col",TRUE,1,4,4,FALSE,1,"Dispersed extinctions","4 extinctions","Extinct patches","4 Dispersed",3,164.466666666667,0
"71",71,71,5,7,2,3,"Tet",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"72",72,72,5,8,2,4,"Col",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"73",73,73,5,9,3,1,"Col",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,2
"74",74,74,5,10,3,2,"Ble",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"75",75,75,5,11,3,3,"Tet",TRUE,1,4,4,FALSE,1,"Dispersed extinctions","4 extinctions","Extinct patches","4 Dispersed",2,91.4583333333333,0
"76",76,76,5,12,3,4,"Tet",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"77",77,77,5,13,4,1,"Ble",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,3
"78",78,78,5,14,4,2,"Ble",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,2
"79",79,79,5,15,4,3,"Tet",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"80",80,80,5,16,4,4,"Ble",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,2
"81",81,81,6,1,1,1,"Tet",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,2
"82",82,82,6,2,1,2,"Tet",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"83",83,83,6,3,1,3,"Col",TRUE,1,3,4,FALSE,1,"Dispersed extinctions","4 extinctions","Extinct patches","4 Dispersed",1,44.0875,0
"84",84,84,6,4,1,4,"Ble",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"85",85,85,6,5,2,1,"Tet",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,2
"86",86,86,6,6,2,2,"Col",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"87",87,87,6,7,2,3,"Ble",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"88",88,88,6,8,2,4,"Col",TRUE,1,3,4,FALSE,1,"Dispersed extinctions","4 extinctions","Extinct patches","4 Dispersed",3,164.466666666667,0
"89",89,89,6,9,3,1,"Col",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"90",90,90,6,10,3,2,"Ble",TRUE,1,4,4,FALSE,1,"Dispersed extinctions","4 extinctions","Extinct patches","4 Dispersed",2,91.4583333333333,0
"91",91,91,6,11,3,3,"Ble",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"92",92,92,6,12,3,4,"Tet",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
