"","file","date","time","magnification","landscape","tube_id","position","measure_point","initial_species","extinction","n_extinctions","correlation","bioarea","Tet","Col","Ble","Ble_shadow","Unassigned","local_simpson","landscape_simpson","hours"
"39","sample_0039","2019-03-18",10,1,3,39,7,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"40","sample_0040","2019-03-18",10,1,3,40,8,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.60431122951872,0
"41","sample_0041","2019-03-18",10,1,3,41,9,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"42","sample_0042","2019-03-18",10,1,3,42,10,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"43","sample_0043","2019-03-18",10,1,3,43,11,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"44","sample_0044","2019-03-18",10,1,3,44,12,"t0","Tet",FALSE,0,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.60431122951872,0
"45","sample_0045","2019-03-18",10,1,3,45,13,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.60431122951872,0
"46","sample_0046","2019-03-18",10,1,3,46,14,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.60431122951872,0
"47","sample_0047","2019-03-18",10,1,3,47,15,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.60431122951872,0
"48","sample_0048","2019-03-18",10,1,3,48,16,"t0","Tet",FALSE,0,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.60431122951872,0
"49","sample_0049","2019-03-18",10,1,4,49,1,"t0","Tet",FALSE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"50","sample_0050","2019-03-18",10,1,4,50,2,"t0","Ble",TRUE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"51","sample_0051","2019-03-18",10,1,4,51,3,"t0","Tet",FALSE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"52","sample_0052","2019-03-18",10,1,4,52,4,"t0","Tet",FALSE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"53","sample_0053","2019-03-18",10,1,4,53,5,"t0","Col",FALSE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"54","sample_0054","2019-03-18",10,1,4,54,6,"t0","Tet",FALSE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"55","sample_0055","2019-03-18",10,1,4,55,7,"t0","Ble",FALSE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"56","sample_0056","2019-03-18",10,1,4,56,8,"t0","Ble",FALSE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"57","sample_0057","2019-03-18",10,1,4,57,9,"t0","Tet",TRUE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"58","sample_0058","2019-03-18",10,1,4,58,10,"t0","Ble",FALSE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"59","sample_0059","2019-03-18",10,1,4,59,11,"t0","Ble",TRUE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"60","sample_0060","2019-03-18",10,1,4,60,12,"t0","Col",FALSE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"61","sample_0061","2019-03-18",10,1,4,61,13,"t0","Col",FALSE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"62","sample_0062","2019-03-18",10,1,4,62,14,"t0","Tet",FALSE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"63","sample_0063","2019-03-18",10,1,4,63,15,"t0","Col",FALSE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"64","sample_0064","2019-03-18",10,1,4,64,16,"t0","Col",TRUE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"65","sample_0065","2019-03-18",10,1,5,65,1,"t0","Tet",TRUE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.60431122951872,0
"66","sample_0066","2019-03-18",10,1,5,66,2,"t0","Col",FALSE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.60431122951872,0
"67","sample_0067","2019-03-18",10,1,5,67,3,"t0","Col",FALSE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.60431122951872,0
"68","sample_0068","2019-03-18",10,1,5,68,4,"t0","Ble",TRUE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"69","sample_0069","2019-03-18",10,1,5,69,5,"t0","Ble",FALSE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"70","sample_0070","2019-03-18",10,1,5,70,6,"t0","Col",TRUE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.60431122951872,0
"71","sample_0071","2019-03-18",10,1,5,71,7,"t0","Tet",FALSE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.60431122951872,0
"72","sample_0072","2019-03-18",10,1,5,72,8,"t0","Col",FALSE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.60431122951872,0
"73","sample_0073","2019-03-18",10,1,5,73,9,"t0","Col",FALSE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.60431122951872,0
"74","sample_0074","2019-03-18",10,1,5,74,10,"t0","Ble",FALSE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"75","sample_0075","2019-03-18",10,1,5,75,11,"t0","Tet",TRUE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.60431122951872,0
"76","sample_0076","2019-03-18",10,1,5,76,12,"t0","Tet",FALSE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.60431122951872,0
"77","sample_0077","2019-03-18",10,1,5,77,13,"t0","Ble",FALSE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"78","sample_0078","2019-03-18",10,1,5,78,14,"t0","Ble",FALSE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"79","sample_0079","2019-03-18",10,1,5,79,15,"t0","Tet",FALSE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.60431122951872,0
"80","sample_0080","2019-03-18",10,1,5,80,16,"t0","Ble",FALSE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"81","sample_0081","2019-03-18",10,1,6,81,1,"t0","Tet",FALSE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"82","sample_0082","2019-03-18",10,1,6,82,2,"t0","Tet",FALSE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"83","sample_0083","2019-03-18",10,1,6,83,3,"t0","Col",TRUE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"84","sample_0084","2019-03-18",10,1,6,84,4,"t0","Ble",FALSE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
"85","sample_0085","2019-03-18",10,1,6,85,5,"t0","Tet",FALSE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"86","sample_0086","2019-03-18",10,1,6,86,6,"t0","Col",FALSE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"87","sample_0087","2019-03-18",10,1,6,87,7,"t0","Ble",FALSE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
"88","sample_0088","2019-03-18",10,1,6,88,8,"t0","Col",TRUE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"89","sample_0089","2019-03-18",10,1,6,89,9,"t0","Col",FALSE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"90","sample_0090","2019-03-18",10,1,6,90,10,"t0","Ble",TRUE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
