"","id","landscape","position","row","column","initial.species","extinctions","distance2nonextinct","connectivity2nonextinct"
"116",116,8,4,1,4,"Col",FALSE,0,NA
"117",117,8,5,2,1,"Tet",FALSE,0,NA
"118",118,8,6,2,2,"Ble",FALSE,0,NA
"119",119,8,7,2,3,"Ble",FALSE,0,NA
"120",120,8,8,2,4,"Tet",FALSE,0,NA
"121",121,8,9,3,1,"Ble",FALSE,0,NA
"122",122,8,10,3,2,"Col",FALSE,0,NA
"123",123,8,11,3,3,"Col",TRUE,1,2
"124",124,8,12,3,4,"Tet",TRUE,1,1
"125",125,8,13,4,1,"Tet",FALSE,0,NA
"126",126,8,14,4,2,"Col",FALSE,0,NA
"127",127,8,15,4,3,"Ble",TRUE,1,1
"128",128,8,16,4,4,"Ble",TRUE,2,0
"129",129,9,1,1,1,"Tet",TRUE,1,2
"130",130,9,2,1,2,"Tet",FALSE,0,NA
"131",131,9,3,1,3,"Tet",TRUE,1,3
"132",132,9,4,1,4,"Col",FALSE,0,NA
"133",133,9,5,2,1,"Col",FALSE,0,NA
"134",134,9,6,2,2,"Ble",TRUE,1,4
"135",135,9,7,2,3,"Col",FALSE,0,NA
"136",136,9,8,2,4,"Ble",TRUE,1,3
"137",137,9,9,3,1,"Tet",TRUE,1,3
"138",138,9,10,3,2,"Col",FALSE,0,NA
"139",139,9,11,3,3,"Col",TRUE,1,4
"140",140,9,12,3,4,"Ble",FALSE,0,NA
"141",141,9,13,4,1,"Ble",FALSE,0,NA
"142",142,9,14,4,2,"Ble",TRUE,1,3
"143",143,9,15,4,3,"Tet",FALSE,0,NA
"144",144,9,16,4,4,"Ble",TRUE,1,2
"145",145,10,1,1,1,"Tet",FALSE,0,NA
"146",146,10,2,1,2,"Tet",FALSE,0,NA
"147",147,10,3,1,3,"Col",TRUE,1,1
"148",148,10,4,1,4,"Col",TRUE,2,0
"149",149,10,5,2,1,"Col",FALSE,0,NA
"150",150,10,6,2,2,"Tet",FALSE,0,NA
"151",151,10,7,2,3,"Ble",TRUE,1,1
"152",152,10,8,2,4,"Col",TRUE,2,0
"153",153,10,9,3,1,"Tet",FALSE,0,NA
"154",154,10,10,3,2,"Ble",FALSE,0,NA
"155",155,10,11,3,3,"Ble",TRUE,1,1
"156",156,10,12,3,4,"Col",TRUE,2,0
"157",157,10,13,4,1,"Ble",FALSE,0,NA
"158",158,10,14,4,2,"Tet",FALSE,0,NA
"159",159,10,15,4,3,"Col",TRUE,1,1
"160",160,10,16,4,4,"Ble",TRUE,2,0
"161",161,11,1,1,1,"Col",FALSE,0,NA
"162",162,11,2,1,2,"Col",FALSE,0,NA
"163",163,11,3,1,3,"Tet",FALSE,0,NA
"164",164,11,4,1,4,"Tet",FALSE,0,NA
"165",165,11,5,2,1,"Col",FALSE,0,NA
"166",166,11,6,2,2,"Tet",FALSE,0,NA
"167",167,11,7,2,3,"Col",FALSE,0,NA
"168",168,11,8,2,4,"Ble",FALSE,0,NA
"169",169,11,9,3,1,"Ble",FALSE,0,NA
"170",170,11,10,3,2,"Ble",FALSE,0,NA
"171",171,11,11,3,3,"Ble",FALSE,0,NA
"172",172,11,12,3,4,"Tet",FALSE,0,NA
"173",173,11,13,4,1,"Tet",FALSE,0,NA
"174",174,11,14,4,2,"Col",FALSE,0,NA
"175",175,11,15,4,3,"Col",FALSE,0,NA
"176",176,11,16,4,4,"Ble",FALSE,0,NA
"177",177,12,1,1,1,"Col",FALSE,0,NA
"178",178,12,2,1,2,"Ble",TRUE,1,3
"179",179,12,3,1,3,"Col",FALSE,0,NA
"180",180,12,4,1,4,"Ble",FALSE,0,NA
"181",181,12,5,2,1,"Col",FALSE,0,NA
"182",182,12,6,2,2,"Tet",FALSE,0,NA
"183",183,12,7,2,3,"Tet",TRUE,1,4
"184",184,12,8,2,4,"Ble",FALSE,0,NA
"185",185,12,9,3,1,"Col",FALSE,0,NA
"186",186,12,10,3,2,"Ble",FALSE,0,NA
"187",187,12,11,3,3,"Ble",FALSE,0,NA
"188",188,12,12,3,4,"Col",TRUE,1,3
"189",189,12,13,4,1,"Tet",TRUE,1,2
"190",190,12,14,4,2,"Ble",FALSE,0,NA
"191",191,12,15,4,3,"Tet",FALSE,0,NA
"192",192,12,16,4,4,"Tet",FALSE,0,NA
"193",193,13,1,1,1,"Ble",FALSE,0,NA
"194",194,13,2,1,2,"Col",FALSE,0,NA
"195",195,13,3,1,3,"Tet",TRUE,1,1
"196",196,13,4,1,4,"Col",TRUE,2,0
"197",197,13,5,2,1,"Tet",FALSE,0,NA
"198",198,13,6,2,2,"Tet",FALSE,0,NA
"199",199,13,7,2,3,"Ble",TRUE,1,2
"200",200,13,8,2,4,"Col",TRUE,1,1
"201",201,13,9,3,1,"Tet",FALSE,0,NA
"202",202,13,10,3,2,"Ble",FALSE,0,NA
"203",203,13,11,3,3,"Ble",FALSE,0,NA
