"","id","landscape","position","row","column","initial.species","extinctions","distance2nonextinct","connectivity2nonextinct"
"4189",4189,262,13,4,1,"Ble",TRUE,1,1
"4190",4190,262,14,4,2,"Col",FALSE,0,NA
"4191",4191,262,15,4,3,"Col",TRUE,1,1
"4192",4192,262,16,4,4,"Tet",TRUE,1,1
"4193",4193,263,1,1,1,"Ble",FALSE,0,NA
"4194",4194,263,2,1,2,"Col",TRUE,1,2
"4195",4195,263,3,1,3,"Col",TRUE,2,0
"4196",4196,263,4,1,4,"Tet",TRUE,3,0
"4197",4197,263,5,2,1,"Tet",TRUE,1,2
"4198",4198,263,6,2,2,"Ble",FALSE,0,NA
"4199",4199,263,7,2,3,"Ble",TRUE,1,1
"4200",4200,263,8,2,4,"Col",TRUE,2,0
"4201",4201,263,9,3,1,"Tet",TRUE,2,0
"4202",4202,263,10,3,2,"Tet",TRUE,1,1
"4203",4203,263,11,3,3,"Col",TRUE,2,0
"4204",4204,263,12,3,4,"Tet",TRUE,3,0
"4205",4205,263,13,4,1,"Ble",TRUE,3,0
"4206",4206,263,14,4,2,"Ble",TRUE,2,0
"4207",4207,263,15,4,3,"Col",TRUE,3,0
"4208",4208,263,16,4,4,"Col",TRUE,4,0
"4209",4209,264,1,1,1,"Ble",TRUE,1,1
"4210",4210,264,2,1,2,"Ble",TRUE,2,0
"4211",4211,264,3,1,3,"Ble",TRUE,3,0
"4212",4212,264,4,1,4,"Tet",TRUE,2,0
"4213",4213,264,5,2,1,"Col",FALSE,0,NA
"4214",4214,264,6,2,2,"Tet",TRUE,1,1
"4215",4215,264,7,2,3,"Ble",TRUE,2,0
"4216",4216,264,8,2,4,"Col",TRUE,1,1
"4217",4217,264,9,3,1,"Col",TRUE,1,1
"4218",4218,264,10,3,2,"Col",TRUE,2,0
"4219",4219,264,11,3,3,"Tet",TRUE,1,1
"4220",4220,264,12,3,4,"Tet",FALSE,0,NA
"4221",4221,264,13,4,1,"Tet",TRUE,2,0
"4222",4222,264,14,4,2,"Col",TRUE,3,0
"4223",4223,264,15,4,3,"Ble",TRUE,2,0
"4224",4224,264,16,4,4,"Col",TRUE,1,1
"4225",4225,265,1,1,1,"Tet",TRUE,1,1
"4226",4226,265,2,1,2,"Tet",FALSE,0,NA
"4227",4227,265,3,1,3,"Ble",TRUE,1,1
"4228",4228,265,4,1,4,"Col",TRUE,2,0
"4229",4229,265,5,2,1,"Ble",TRUE,1,1
"4230",4230,265,6,2,2,"Ble",TRUE,1,1
"4231",4231,265,7,2,3,"Col",TRUE,2,0
"4232",4232,265,8,2,4,"Ble",TRUE,3,0
"4233",4233,265,9,3,1,"Tet",FALSE,0,NA
"4234",4234,265,10,3,2,"Ble",TRUE,1,1
"4235",4235,265,11,3,3,"Tet",TRUE,2,0
"4236",4236,265,12,3,4,"Tet",TRUE,3,0
"4237",4237,265,13,4,1,"Col",TRUE,1,1
"4238",4238,265,14,4,2,"Col",TRUE,2,0
"4239",4239,265,15,4,3,"Ble",TRUE,3,0
"4240",4240,265,16,4,4,"Col",TRUE,4,0
"4241",4241,266,1,1,1,"Col",TRUE,2,0
"4242",4242,266,2,1,2,"Ble",TRUE,1,1
"4243",4243,266,3,1,3,"Tet",TRUE,2,0
"4244",4244,266,4,1,4,"Ble",TRUE,3,0
"4245",4245,266,5,2,1,"Tet",TRUE,1,1
"4246",4246,266,6,2,2,"Ble",FALSE,0,NA
"4247",4247,266,7,2,3,"Ble",TRUE,1,1
"4248",4248,266,8,2,4,"Tet",TRUE,2,0
"4249",4249,266,9,3,1,"Tet",TRUE,2,0
"4250",4250,266,10,3,2,"Col",TRUE,1,1
"4251",4251,266,11,3,3,"Tet",TRUE,2,0
"4252",4252,266,12,3,4,"Col",TRUE,1,1
"4253",4253,266,13,4,1,"Ble",TRUE,3,0
"4254",4254,266,14,4,2,"Col",TRUE,2,0
"4255",4255,266,15,4,3,"Col",TRUE,1,1
"4256",4256,266,16,4,4,"Col",FALSE,0,NA
"4257",4257,267,1,1,1,"Tet",TRUE,3,0
"4258",4258,267,2,1,2,"Ble",TRUE,2,0
"4259",4259,267,3,1,3,"Ble",TRUE,3,0
"4260",4260,267,4,1,4,"Ble",TRUE,4,0
"4261",4261,267,5,2,1,"Col",TRUE,2,0
"4262",4262,267,6,2,2,"Col",TRUE,1,1
"4263",4263,267,7,2,3,"Col",TRUE,2,0
"4264",4264,267,8,2,4,"Ble",TRUE,3,0
"4265",4265,267,9,3,1,"Ble",TRUE,1,2
"4266",4266,267,10,3,2,"Tet",FALSE,0,NA
"4267",4267,267,11,3,3,"Tet",TRUE,1,1
"4268",4268,267,12,3,4,"Ble",TRUE,2,0
"4269",4269,267,13,4,1,"Tet",FALSE,0,NA
"4270",4270,267,14,4,2,"Col",TRUE,1,2
"4271",4271,267,15,4,3,"Col",TRUE,2,0
"4272",4272,267,16,4,4,"Tet",TRUE,3,0
"4273",4273,268,1,1,1,"Col",TRUE,3,0
"4274",4274,268,2,1,2,"Tet",TRUE,2,0
"4275",4275,268,3,1,3,"Ble",TRUE,1,1
"4276",4276,268,4,1,4,"Tet",FALSE,0,NA
"4277",4277,268,5,2,1,"Col",TRUE,3,0
"4278",4278,268,6,2,2,"Tet",TRUE,2,0
"4279",4279,268,7,2,3,"Tet",TRUE,1,1
